Rank,Release Group,Worldwide,Domestic,%,Foreign,%
214,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
215,Rent-A-Pal,"$30,901","$30,901",100%,-,-
216,After Parkland,"$30,444","$30,444",100%,-,-
217,Olympic Dreams,"$29,450","$29,450",100%,-,-
218,Buffaloed,"$29,118","$29,118",100%,-,-
219,Abe,"$28,657",-,-,"$28,657",100%
220,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
221,José,"$26,563","$26,563",100%,-,-
222,Unsubscribe,"$25,488","$25,488",100%,-,-
223,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
224,Stage Mother,"$24,736",-,-,"$24,736",100%
225,The Trial of the Chicago 7,"$24,357",-,-,"$24,357",100%
226,Heart of Africa,"$24,139","$24,139",100%,-,-
227,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
228,Premature,"$23,071","$23,071",100%,-,-
229,L'Innocente,"$22,549","$22,549",100%,-,-
230,Tar,"$22,300","$22,300",100%,-,-
231,The Pale Door,"$21,166",-,-,"$21,166",100%
232,Lore,"$20,006","$20,006",100%,-,-
233,Foster Boy,"$19,873","$19,873",100%,-,-
234,Mandy 2020 Re-release,"$19,169","$19,169",100%,-,-
235,Shithouse,"$18,148","$18,148",100%,-,-
236,Made in Hong Kong,"$17,843","$17,843",100%,-,-
237,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
238,She Is the Ocean,"$17,157","$17,157",100%,-,-
239,Advocate,"$16,942","$16,942",100%,-,-
240,Centigrade,"$16,263","$16,263",100%,-,-
241,Straight Up,"$16,080","$16,080",100%,-,-
242,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
243,American Deep State,"$15,269","$15,269",100%,-,-
244,"I Was at Home, But...","$14,078","$14,078",100%,-,-
245,Counter Column,"$13,581","$13,581",100%,-,-
246,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
247,The Grizzlies,"$11,650","$11,650",100%,-,-
248,Powerbomb,"$11,319","$11,319",100%,-,-
249,Draupadi Unleashed,"$11,317","$11,317",100%,-,-
250,Lost in America,"$11,301","$11,301",100%,-,-
251,You Go to My Head,"$10,682","$10,682",100%,-,-
252,I Am Woman,"$10,122",-,-,"$10,122",100%
253,Guest Artist,"$10,017","$10,017",100%,-,-
254,Foosballers,"$9,966","$9,966",100%,-,-
255,Just One More Kiss,"$9,130","$9,130",100%,-,-
256,LX 2048,"$8,393",-,-,"$8,393",100%
257,Inside the Rain,"$8,140","$8,140",100%,-,-
258,The Wave,"$8,101","$8,101",100%,-,-
259,I AM PATRICK,"$7,880",-,-,"$7,880",100%
260,Dreaming Grand Avenue,"$7,789","$7,789",100%,-,-
261,Valley Girl,"$7,671",-,-,"$7,671",100%
262,The Other Lamb,"$7,385","$6,024",81.6%,"$1,361",18.4%
263,I Am Lisa,"$6,986","$6,986",100%,-,-
264,What We Found,"$6,976","$6,976",100%,-,-
265,12 Hour Shift,"$6,820","$6,820",100%,-,-
266,Kindred,"$6,795","$6,795",100%,-,-
267,Human Capital,"$6,596","$6,596",100%,-,-
268,Afterward,"$6,477","$6,477",100%,-,-
269,In the Life of Music,"$5,772","$5,772",100%,-,-
270,Sex and the Future,"$5,745","$5,745",100%,-,-
271,Find Your Voice,"$5,385","$5,385",100%,-,-
272,Lie Exposed,"$5,318","$5,318",100%,-,-
273,Still Here,"$5,268","$5,268",100%,-,-
274,Ottolenghi and the Cakes of Versailles,"$4,962","$4,962",100%,-,-
275,King's Gambit,"$3,816","$3,816",100%,-,-
276,Moondance,"$2,371","$2,371",100%,-,-
277,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
278,Goldie,"$2,302","$2,302",100%,-,-
279,Bang! Bang!,"$2,087","$2,087",100%,-,-
280,The Transcendents,"$2,041","$2,041",100%,-,-
281,Gul Makai,"$2,035",-,-,"$2,035",100%
282,The Fox Hunter,"$1,577","$1,577",100%,-,-
283,The Shade Shepherd,"$1,458","$1,458",100%,-,-
284,Fear Pharm,"$1,157","$1,157",100%,-,-
285,The Father,"$1,116",-,-,"$1,116",100%
286,Hai Tang Hong,"$1,107","$1,107",100%,-,-
287,Greater 2020 Re-release,$527,$527,100%,-,-
288,Spaceship Earth,$362,-,-,$362,100%
